ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
ENSG00000000003,4448.617670238116,-0.5810170901640329,0.07836144502619279,-7.414578559262459,1.2201216861951265e-13,2.5096660905962173e-12,TSPAN6
ENSG00000000419,2814.382168605056,-0.2086442017819787,0.08357111372029825,-2.496606692119528,0.012538794267766717,0.04098951375783773,DPM1
ENSG00000000457,313.9013892738247,-0.30490809856320383,0.13068989465465894,-2.333065608239315,0.019644702158980155,0.05965432943852129,SCYL3
ENSG00000000460,804.2735956931783,-0.16554677217469638,0.11028157861603956,-1.5011280601184553,0.13332244241213664,0.2733723380504193,C1orf112
ENSG00000000971,3.415676243503027,0.8484233770549241,1.7022885849367502,0.4984016133119097,0.6182009998908522,0.7689915730200432,CFH
ENSG00000001036,5938.446552254693,-0.15926886823085715,0.07738611082395817,-2.058106636127121,0.03957989813368576,0.1057785364762181,FUCA2
ENSG00000001084,4639.996264340583,-0.9775286509151059,0.08763375977188066,-11.154704002883244,6.791847247453977e-29,4.318416288101767e-27,GCLC
ENSG00000001167,2692.8388336429425,-0.6568004331411504,0.05229931999718269,-12.558488966520628,3.570871047897672e-36,3.125307300139752e-34,NFYA
ENSG00000001460,229.31677611394082,0.0955205177907959,0.11649972737977181,0.8199205263323338,0.4122614144175177,0.6008183990575011,STPG1
ENSG00000001461,418.9295240987873,0.43902955273157873,0.11787907565701723,3.724406136412079,1.9577553525658117e-4,0.0010896692896953583,NIPAL3
ENSG00000001497,1363.0329692313035,-0.16704543500174882,0.05348702676729338,-3.1231019014856685,0.0017895577722865257,0.007741977170560359,LAS1L
ENSG00000001561,7.699540996574926,0.9558561231751329,0.5260481527397776,1.8170506220710374,0.06920936247007832,0.16535897412446432,ENPP4
ENSG00000001617,509.0331061273498,-0.07735379848035936,0.1287552480963588,-0.6007817127770105,0.5479853858498065,0.7150348617743543,SEMA3F
ENSG00000001629,2455.880792166958,-0.207304348098487,0.0659666972268795,-3.1425606679307347,0.001674770025510963,0.00730827178270004,ANKIB1
ENSG00000001630,12151.395986041001,0.04870295613359535,0.05833064829650748,0.834946251343334,0.40374797172780913,0.5926278960355634,CYP51A1
ENSG00000001631,1458.3408248512944,0.1268561966584576,0.08842646065822733,1.434595433472828,0.15140241664389126,0.29986417251558783,KRIT1
ENSG00000002016,456.3178622163049,0.2880834728158359,0.12480413075173649,2.3082847585301387,0.020983303597653085,0.06297612899820414,RAD52
ENSG00000002079,11.523043268342564,0.07723313617087739,0.744814834812585,0.10369441176653157,0.9174118615127781,0.957081664789218,MYH16
ENSG00000002330,182.43322005023728,0.14155031960646264,0.2201989261583305,0.6428292911141772,0.5203348746167782,0.6928947375366089,BAD
ENSG00000002549,3275.4057027239473,-0.12834632267221863,0.04936650545593432,-2.599866478026959,0.009326003926816057,0.03200151633173167,LAP3
ENSG00000002586,2961.853955892221,-0.04977717830415372,0.0654085895640227,-0.7610189829186154,0.4466457290155655,0.6317312434428521,CD99
ENSG00000002726,3.4705867455347645,0.5360983837510203,0.7675803421342742,0.6984264113127061,0.48491056399140353,0.6642698176742909,AOC1
ENSG00000002746,5.662718442369557,2.9278966534743427,1.7532465929749925,1.6699856513088371,0.09492220254196361,0.21137496647632562,HECW1
ENSG00000002822,705.3986218415911,-0.29391023280723017,0.10278740993182678,-2.859399152115659,0.004244443495834661,0.016405574735017647,MAD1L1
ENSG00000002834,9636.328582945307,-0.8782458033088666,0.0724247805159648,-12.126316394086583,7.661904331371002e-34,6.089523817484497e-32,LASP1
ENSG00000002919,553.5834378967787,-0.27510766063482583,0.07159556378019448,-3.842523839597573,1.2177558146856972e-4,7.14782655494852e-4,SNX11
ENSG00000003056,4750.351425987946,-0.27544461913997187,0.060534458804659796,-4.550211971479108,5.359190022748153e-6,4.1258892418721356e-5,M6PR
ENSG00000003096,53.94743983806242,0.8009810389164311,0.3350338961603724,2.3907462740218426,0.016814168212168506,0.05242121263493781,KLHL13
ENSG00000003137,8.320628630234198,1.1019265871285204,0.7826104330341489,1.4080141800006367,0.15912687119100016,0.3109749323275214,CYP26B1
ENSG00000003147,21.85899604822611,0.5831051275965246,0.32496365464792554,1.7943702911277155,0.07275408554973012,0.1719280521878078,ICA1
ENSG00000003249,940.3833894614382,-0.10369973783333633,0.09198259912738084,-1.1273842967812768,0.25958003546198166,0.440932622897267,DBNDD1
ENSG00000003393,1963.365380382333,0.08543404288208158,0.10588387285143759,0.8068654893455914,0.41974398345312103,0.6076398432450741,ALS2
ENSG00000003400,1502.0682881874163,-0.32937957293828757,0.09581346704435255,-3.437716879463469,5.866407208708398e-4,0.0029113863874623085,CASP10
ENSG00000003402,2998.907870889044,-0.3414512902757296,0.042146732318273844,-8.101489047768581,5.4290533596910175e-16,1.4295405058440978e-14,CFLAR
ENSG00000003436,29665.264591684558,-0.948907879412432,0.06609442758203345,-14.356851464288575,9.651319797554837e-47,1.346078912151874e-44,TFPI
ENSG00000003509,1039.358245896047,-0.23335928968546182,0.10772210263589224,-2.166308343184049,0.03028763259819098,0.08531049400751695,NDUFAF7
ENSG00000003756,3257.6217319284233,0.3127367046446417,0.11567025599594942,2.7036916444240706,0.0068573891881587275,0.02466195965224012,RBM5
ENSG00000003987,108.80393237671059,-0.7482711834794418,0.3807065036131638,-1.9654804327686524,0.0493586582122093,0.12644098509675797,MTMR7
ENSG00000003989,9894.00893834997,-1.3984657793909083,0.0451057382420726,-31.004165631557772,4.736795406860074e-211,2.560001077637527e-207,SLC7A2
